algo_name,coefficients,depth,done,graph,init_bots,init_locations,priority_nodes,random_string,sim_length,time_periods,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
through_modified_basic,1 10 0 0,5,False,cair,1,1563324357,1563324327 1154147726 1154147727 1563324357,through_modified_basic_cair_85_d5_10,20000,42.781199233777045 42.781199233777045 42.781199233777045 42.781199233777045,True,158.18642302436422,125.17398260173982,167.6185488593998,564.0,359.0,564.0,1.4568439918928149
through_modified_basic,1 10 0 0,3,False,grid_5_5,4,4 2 10 15,24 10 4 12 2 15,through_modified_basic_grid_5_5_48_d3_10,20000,40.0 40.0 40.0 40.0 40.0 40.0,True,92.14883711628838,74.88697796886977,97.59995053126266,562.0,412.0,562.0,1.411460542553232
through_modified_basic,1 10 0 0,0,False,iitb,1,5366445083,4369058864 5366445083 3215340463 667357382 -266,through_modified_basic_iitb_101_d0_10,20000,193.01923579533718 193.01923579533718 193.01923579533718 193.01923579533718 193.01923579533718,True,473.484967655346,230.7514730155554,537.3622030868698,3628.0,846.0,3628.0,2.5596911884250835
through_modified_basic,1 10 0 0,5,False,iitb,3,668685374 3215340464 2055461156,2055461156 668685374 3215340464 -266,through_modified_basic_iitb_63_d5_10,20000,196.79764709698915 196.79764709698915 196.79764709698915 196.79764709698915,True,177.15642759528689,150.04547272636367,182.57861856907155,1726.0,599.0,1726.0,1.4631433648195444
through_modified_basic,1 10 0 0,3,False,grid_5_5,3,2 21 8,8 15 1 21 2,through_modified_basic_grid_5_5_79_d3_10,20000,60.0 60.0 60.0 60.0 60.0,True,114.2476792320768,83.05225477452255,122.04653534646536,649.0,386.0,649.0,1.7178269986917345
through_modified_basic,1 10 0 0,0,False,cair,1,1563324357,1563324327 1154147726 1154147727 1563324357,through_modified_basic_cair_85_d0_10,20000,42.781199233777045 42.781199233777045 42.781199233777045 42.781199233777045,True,217.0835124910421,131.9630018499075,241.4036583885092,1513.0,560.0,1513.0,2.145560540894845
through_modified_basic,1 10 0 0,5,False,cair,4,1563324343 1154147728 1154147727 1563324357,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,through_modified_basic_cair_92_d5_10,20000,35.841137562581316 35.841137562581316 35.841137562581316 35.841137562581316 35.841137562581316,True,71.09286670778394,53.46742011301695,77.87188462884816,639.0,268.0,639.0,1.693417885407429
through_modified_basic,1 10 0 0,3,False,cair,1,1563324011,1563324327 cluster_1563324004_1563324334 1563324349 1563324344 1563324011,through_modified_basic_cair_17_d3_10,20000,43.123957952003174 43.123957952003174 43.123957952003174 43.123957952003174 43.123957952003174,True,193.07637604102428,135.40718035901793,215.256835918719,870.0,497.0,870.0,1.6900966504754855
through_modified_basic,1 10 0 0,0,False,grid_5_5,4,4 2 17 22,4 17 2 22,through_modified_basic_grid_5_5_76_d0_10,20000,60.0 60.0 60.0 60.0,True,114.0995129756488,74.25201260063002,121.68951304708092,839.0,291.0,839.0,1.8747223336513592
through_modified_basic,1 10 0 0,5,False,grid_5_5,2,3 24,24 3 22 8,through_modified_basic_grid_5_5_38_d5_10,20000,80.0 80.0 80.0 80.0,True,154.83669416529173,117.3555572221389,161.9759583449399,598.0,586.0,598.0,1.6514591878268332
through_modified_basic,1 10 0 0,3,False,grid_5_5,3,11 19 7,7 15 1 19 11,through_modified_basic_grid_5_5_43_d3_10,20000,60.0 60.0 60.0 60.0 60.0,True,110.5075868967242,87.74850712678169,116.1973568392098,609.0,399.0,609.0,1.463460061835247
through_modified_basic,1 10 0 0,0,False,grid_5_5,3,1 18 5,5 1 18 13,through_modified_basic_grid_5_5_3_d0_10,20000,60.0 60.0 60.0 60.0,True,119.10205110255512,71.76018800940047,128.11954883458458,821.0,321.0,821.0,2.1393779389368714
through_modified_basic,1 10 0 0,5,False,grid_5_5,4,24 15 11 6,6 15 24 0 11 17,through_modified_basic_grid_5_5_84_d5_10,20000,80.0 80.0 80.0 80.0 80.0 80.0,True,96.88060406040604,79.10050171683835,102.49537322153267,687.0,439.0,687.0,1.4599958327436509
through_modified_basic,1 10 0 0,3,False,grid_5_5,2,15 2,8 15 1 21 2,through_modified_basic_grid_5_5_78_d3_10,20000,60.0 60.0 60.0 60.0 60.0,True,156.93002451102996,114.76537441848832,167.47118703416538,972.0,465.0,972.0,1.6428181236260029
through_modified_basic,1 10 0 0,0,False,iitb,1,667357401,3215340463 cluster_-172_5366445082 667357401 1990860598 -222 667357361,through_modified_basic_iitb_69_d0_10,20000,98.51793043494999 98.51793043494999 98.51793043494999 98.51793043494999 98.51793043494999 98.51793043494999,True,448.5560599996665,315.1075091300215,493.03891028954814,3606.0,1417.0,3606.0,1.6937309423212887
through_modified_basic,1 10 0 0,3,False,cair,2,1563324327 1154147727,1563324327 1154147726 1154147727 1563324357,through_modified_basic_cair_86_d3_10,20000,42.781199233777045 42.781199233777045 42.781199233777045 42.781199233777045,True,149.4775044307771,93.74829991499575,165.4001342924289,1400.0,402.0,1400.0,2.057620851055402
